timestep,consumer_id,name,row_type,funnel_stage,active,selected_bank,selected_bank_name,offered_rate,approved_amount,drop_reason,loan_episode,joined_timestep,left_timestep,successful_loans,reentry_reason
4,C008,Jonas Wagner,snapshot,prospect,True,,,,,,,,,0,
4,C009,Laura Schmidt,snapshot,prospect,True,,,,,,,,,0,
4,C010,Nico Bauer,snapshot,prospect,True,,,,,,,,,0,
4,C011,Hannah Krause,snapshot,selected,True,,,,,,,,,0,
4,C012,Omar Yilmaz,snapshot,selected,True,,,,,,,,,0,
4,C013,Klara Neumann,snapshot,selected,True,,,,,,,,,0,
4,C014,Felix Richter,snapshot,selected,True,,,,,,,,,0,
4,C015,Dynamic Consumer C015,snapshot,selected,True,,,,,,,1,,0,
4,C016,Dynamic Consumer C016,snapshot,selected,True,,,,,,,2,,0,
4,C017,Dynamic Consumer C017,snapshot,lead,True,,,,,,,4,,0,
5,C001,Anna Müller,snapshot,prospect,True,,,,,,,,,0,
5,C002,Lukas Schneider,snapshot,prospect,True,,,,,,,,,0,
5,C003,Sophie Weber,snapshot,prospect,True,,,,,,,,,0,
5,C004,Max Fischer,snapshot,prospect,True,,,,,,,,,0,
5,C005,Elena García,snapshot,prospect,True,,,,,,,,,0,
5,C006,Thomas Becker,snapshot,prospect,True,,,,,,,,,0,
5,C007,Mia Hoffmann,snapshot,prospect,True,,,,,,,,,0,
5,C008,Jonas Wagner,snapshot,prospect,True,,,,,,,,,0,
5,C009,Laura Schmidt,snapshot,prospect,True,,,,,,,,,0,
5,C010,Nico Bauer,snapshot,prospect,True,,,,,,,,,0,
5,C011,Hannah Krause,snapshot,selected,True,,,,,,,,,0,
5,C012,Omar Yilmaz,snapshot,selected,True,,,,,,,,,0,
5,C013,Klara Neumann,snapshot,selected,True,,,,,,,,,0,
5,C014,Felix Richter,snapshot,selected,True,,,,,,,,,0,
5,C015,Dynamic Consumer C015,snapshot,selected,True,,,,,,,1,,0,
5,C016,Dynamic Consumer C016,snapshot,selected,True,,,,,,,2,,0,
5,C017,Dynamic Consumer C017,snapshot,selected,True,,,,,,,4,,0,
5,C018,Dynamic Consumer C018,snapshot,lead,True,,,,,,,5,,0,
6,C001,Anna Müller,snapshot,information_gathering,True,,,,,,,,,0,
6,C002,Lukas Schneider,snapshot,information_gathering,True,,,,,,,,,0,
6,C003,Sophie Weber,snapshot,information_gathering,True,,,,,,,,,0,
6,C004,Max Fischer,snapshot,information_gathering,True,,,,,,,,,0,
6,C005,Elena García,snapshot,information_gathering,True,,,,,,,,,0,
6,C006,Thomas Becker,snapshot,information_gathering,True,,,,,,,,,0,
6,C007,Mia Hoffmann,snapshot,information_gathering,True,,,,,,,,,0,
6,C008,Jonas Wagner,snapshot,information_gathering,True,,,,,,,,,0,
6,C009,Laura Schmidt,snapshot,information_gathering,True,,,,,,,,,0,
6,C010,Nico Bauer,snapshot,information_gathering,True,,,,,,,,,0,
6,C011,Hannah Krause,snapshot,selected,True,,,,,,,,,0,
6,C012,Omar Yilmaz,snapshot,selected,True,,,,,,,,,0,
6,C013,Klara Neumann,snapshot,selected,True,,,,,,,,,0,
6,C014,Felix Richter,snapshot,selected,True,,,,,,,,,0,
6,C015,Dynamic Consumer C015,snapshot,selected,True,,,,,,,1,,0,
6,C016,Dynamic Consumer C016,snapshot,selected,True,,,,,,,2,,0,
6,C017,Dynamic Consumer C017,snapshot,selected,True,,,,,,,4,,0,
6,C018,Dynamic Consumer C018,snapshot,consideration,True,,,,,,,5,,0,
7,C001,Anna Müller,snapshot,information_gathering,True,,,,,,,,,0,
7,C002,Lukas Schneider,snapshot,information_gathering,True,,,,,,,,,0,
7,C003,Sophie Weber,snapshot,information_gathering,True,,,,,,,,,0,
7,C004,Max Fischer,snapshot,information_gathering,True,,,,,,,,,0,
7,C005,Elena García,snapshot,information_gathering,True,,,,,,,,,0,
7,C006,Thomas Becker,snapshot,information_gathering,True,,,,,,,,,0,
7,C007,Mia Hoffmann,snapshot,dropped,False,,,,,stochastic_dropout,,,7,0,
7,C008,Jonas Wagner,snapshot,information_gathering,True,,,,,,,,,0,
7,C009,Laura Schmidt,snapshot,information_gathering,True,,,,,,,,,0,
7,C010,Nico Bauer,snapshot,information_gathering,True,,,,,,,,,0,
7,C011,Hannah Krause,snapshot,selected,True,,,,,,,,,0,
7,C012,Omar Yilmaz,snapshot,selected,True,,,,,,,,,0,
7,C013,Klara Neumann,snapshot,selected,True,,,,,,,,,0,
7,C014,Felix Richter,snapshot,selected,True,,,,,,,,,0,
7,C015,Dynamic Consumer C015,snapshot,selected,True,,,,,,,1,,0,
7,C016,Dynamic Consumer C016,snapshot,selected,True,,,,,,,2,,0,
7,C017,Dynamic Consumer C017,snapshot,selected,True,,,,,,,4,,0,
7,C018,Dynamic Consumer C018,snapshot,selected,True,,,,,,,5,,0,
8,C001,Anna Müller,snapshot,selected,True,,,,,,,,,0,
8,C002,Lukas Schneider,snapshot,selected,True,,,,,,,,,0,
8,C003,Sophie Weber,snapshot,selected,True,,,,,,,,,0,
8,C004,Max Fischer,snapshot,selected,True,,,,,,,,,0,
8,C005,Elena García,snapshot,selected,True,,,,,,,,,0,
8,C006,Thomas Becker,snapshot,selected,True,,,,,,,,,0,
8,C007,Mia Hoffmann,snapshot,dropped,False,,,,,stochastic_dropout,,,7,0,
8,C008,Jonas Wagner,snapshot,selected,True,,,,,,,,,0,
8,C009,Laura Schmidt,snapshot,selected,True,,,,,,,,,0,
8,C010,Nico Bauer,snapshot,selected,True,,,,,,,,,0,
8,C011,Hannah Krause,snapshot,selected,True,,,,,,,,,0,
8,C012,Omar Yilmaz,snapshot,selected,True,,,,,,,,,0,
8,C013,Klara Neumann,snapshot,selected,True,,,,,,,,,0,
8,C014,Felix Richter,snapshot,selected,True,,,,,,,,,0,
8,C015,Dynamic Consumer C015,snapshot,selected,True,,,,,,,1,,0,
8,C016,Dynamic Consumer C016,snapshot,selected,True,,,,,,,2,,0,
8,C017,Dynamic Consumer C017,snapshot,selected,True,,,,,,,4,,0,
8,C018,Dynamic Consumer C018,snapshot,selected,True,,,,,,,5,,0,
9,C001,Anna Müller,snapshot,selected,True,,,,,,,,,0,
9,C002,Lukas Schneider,snapshot,selected,True,,,,,,,,,0,
9,C003,Sophie Weber,snapshot,selected,True,,,,,,,,,0,
9,C004,Max Fischer,snapshot,selected,True,,,,,,,,,0,
9,C005,Elena García,snapshot,selected,True,,,,,,,,,0,
9,C006,Thomas Becker,snapshot,selected,True,,,,,,,,,0,
9,C007,Mia Hoffmann,snapshot,dropped,False,,,,,stochastic_dropout,,,7,0,
9,C008,Jonas Wagner,snapshot,selected,True,,,,,,,,,0,
9,C009,Laura Schmidt,snapshot,selected,True,,,,,,,,,0,
9,C010,Nico Bauer,snapshot,selected,True,,,,,,,,,0,
9,C011,Hannah Krause,snapshot,selected,True,,,,,,,,,0,
9,C012,Omar Yilmaz,snapshot,application_started,True,,,,,,,,,0,
9,C013,Klara Neumann,snapshot,application_started,True,,,,,,,,,0,
9,C014,Felix Richter,snapshot,application_started,True,,,,,,,,,0,
9,C015,Dynamic Consumer C015,snapshot,application_started,True,,,,,,,1,,0,
9,C016,Dynamic Consumer C016,snapshot,application_started,True,,,,,,,2,,0,
9,C017,Dynamic Consumer C017,snapshot,application_started,True,,,,,,,4,,0,
9,C018,Dynamic Consumer C018,snapshot,application_started,True,,,,,,,5,,0,
9,C019,Dynamic Consumer C019,snapshot,lead,True,,,,,,,9,,0,
